comparison,metric,mean_difference,relative_gain_pct,A12,wilcoxon_p_raw,calls_reduction_pct,holm_p
MF-BCL-SAEA vs MF-EMTO,HV,0.02827356610391829,3.1893912067842534,1.0,9.313225746154785e-10,27.219489341766234,7.450580596923828e-09
MF-BCL-SAEA vs qNEHVI,HV,0.03410676827115674,3.8728879324960053,1.0,9.313225746154785e-10,33.92173543173117,7.450580596923828e-09
MF-BCL-SAEA vs LC-SAEA,HV,0.0401160332657818,4.586548244330024,1.0,9.313225746154785e-10,42.54807692307693,7.450580596923828e-09
MF-BCL-SAEA vs C-SAEA,HV,0.05502253950486121,6.399912795050988,1.0,9.313225746154785e-10,45.22214386459803,7.450580596923828e-09
MF-BCL-SAEA vs MOEA/D-GP,HV,0.06196448425974137,7.266030241742172,1.0,9.313225746154785e-10,44.65621660135376,7.450580596923828e-09
MF-BCL-SAEA vs SMS-EGO,HV,0.07103760004927748,8.41953222147598,1.0,9.313225746154785e-10,45.90877437325906,7.450580596923828e-09
MF-BCL-SAEA vs ParEGO,HV,0.08315334715889038,9.999102760916202,1.0,9.313225746154785e-10,46.943306010928964,7.450580596923828e-09
MF-BCL-SAEA vs HF-NSGA-II,HV,0.10190815119270501,12.537090439784059,1.0,9.313225746154785e-10,47.195785180149564,7.450580596923828e-09
