algorithm,HV_mean,HV_sd,HV_ci95,IGD_plus_mean,IGD_plus_sd,HF_calls_mean,HF_calls_sd,wall_time_h_mean,feasible_fraction_mean,failed_fraction_mean,spacing_mean,epsilon_mean
MF-BCL-SAEA,0.9147614338755753,0.003955783934835092,0.0014155591012341413,0.00380302335470353,0.0021887396686767115,103.56666666666666,4.4309517412552974,14.569245058005384,0.946694767717093,0.026423114621257463,0.009132703971377273,0.011884271114018288
MF-EMTO,0.8864878677716569,0.007204097866178198,0.0025779533130833427,0.005999619747298567,0.0034075686005459564,142.3,6.2485860469554915,18.017054544615867,0.9117972685860631,0.05028421340519951,0.012573784407105371,0.01821803216635116
qNEHVI,0.8806546656044186,0.007467816305397472,0.002672323744570442,0.007187509975128579,0.004230477167020457,156.73333333333332,8.70169754874789,18.362727479498897,0.9026976634470607,0.05466566071674731,0.013562189000927809,0.019376628361158048
LC-SAEA,0.8746454006097935,0.008010321017202728,0.0028664565624667085,0.007486698181813188,0.004124304481320602,180.26666666666668,6.9427875418001035,17.227063940163013,0.8907913498214843,0.05925364623962943,0.014117631373371518,0.020884062916482583
C-SAEA,0.859738894370714,0.009316640325852131,0.0033339169235325765,0.010591410687333621,0.0057476485856978845,189.06666666666666,7.394934581946239,16.83835115803334,0.8710254083181064,0.07056674278104666,0.016219322344486347,0.024344476797627804
MOEA/D-GP,0.852796949615834,0.008279942688964127,0.002962939438589148,0.010780330065331268,0.005872715551678431,187.13333333333333,8.423011720090479,18.46358196441637,0.8636500821094393,0.0741467280088652,0.017046813078947454,0.025782240501311438
SMS-EGO,0.8437238338262978,0.011657122767938108,0.004171447809129749,0.01269864611798759,0.008356376660766227,191.46666666666667,6.3503099752381535,18.043335005438436,0.8468635991225244,0.08294063422584358,0.018206173721649208,0.027393832071111672
ParEGO,0.8316080867166848,0.010236793273473248,0.0036631894270336553,0.014340671861860312,0.008303066730480597,195.2,6.065163385808474,18.84880060821258,0.8387125886009815,0.09015438219630664,0.01991826574086443,0.03016711217059524
HF-NSGA-II,0.8128532826828703,0.012271583430080828,0.004391329733161772,0.017338973092017117,0.011229650428710602,196.13333333333333,4.973955155111222,19.533331295712152,0.8200423053709357,0.09953417452561471,0.022372849041926712,0.03477634967027155
